degree,specialization,skills,certifications,cgpa,graduation_year,internship_experience,job_role
B.Arch,Interior Design,"Color Theory, Space Planning, Communication, SketchUp",None,6.27,2025,1,Interior Designer
MBBS,General Medicine,"Health Promotion, Diagnosis, Patient Care, Medicine",None,7.66,2026,1,General Practitioner
M.Sc,Statistics,"R, Probability, Statistical Modeling, SPSS, Communication",None,6.66,2026,0,Statistician
B.Com,Banking,"Problem Solving, Communication",None,8.93,2024,1,Banking Officer
B.Arch,Interior Design,"Space Planning, AutoCAD, SketchUp",None,5.67,2025,0,Interior Designer
B.Pharm,Pharmacy,"Patient Counseling, Dispensing, Pharmacology",None,6.83,2027,0,Pharmacist
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.95,2025,1,Urban Planner
MBBS,Surgery,"Medical Ethics, Anatomy, Surgery, Patient Care",None,9.38,2025,1,Surgeon
B.Arch,Architecture,"SketchUp, AutoCAD, Revit, 3D Modeling, Building Codes",None,7.42,2025,0,Architect
LLB,Criminal Law,"Criminal Law, Court Procedures, Litigation",None,6.83,2026,0,Criminal Lawyer
LLM,International Law,"Problem Solving, Communication",None,9.76,2027,1,International Lawyer
M.Tech,Computer Science,"Rest APIs, Go, SQL",None,5.76,2025,0,Backend Developer
LLM,International Law,"Problem Solving, Communication",None,5.0,2024,0,International Lawyer
PhD,Mathematics,"Tableau, Excel, Communication, Power BI",None,8.03,2026,1,Data Analyst
B.Sc,Biotechnology,"Problem Solving, Communication",None,6.9,2026,1,Lab Manager
BCA,Computer Applications,"SQL, Java, .NET, Object Oriented Programming",None,6.27,2023,1,Software Developer
B.Com,Banking,"Problem Solving, Communication",None,8.35,2026,1,Banking Officer
LLB,Constitutional Law,"Problem Solving, Communication",None,7.79,2025,1,Constitutional Lawyer
LLB,Corporate Law,"Contract Law, Drafting, Mergers, Compliance",None,6.82,2025,1,Corporate Lawyer
MBBS,General Medicine,"Problem Solving, Communication",None,5.96,2024,0,Medical Consultant
B.Sc,Statistics,"Probability, Statistical Modeling, SAS, SPSS, R",None,8.55,2026,1,Statistician
M.Tech,AI,"Neural Networks, Deep Learning, Python, TensorFlow, PyTorch",None,8.28,2026,1,AI Engineer
B.Pharm,Pharmacy,"Drug Safety, Patient Counseling, Dispensing, Pharmacology",None,7.38,2026,1,Pharmacist
B.Com,Banking,"Communication, Financial Analysis, Excel, Equity Research",None,9.72,2026,1,Investment Analyst
MCA,Computer Applications,".NET, SQL, C#, Object Oriented Programming",None,6.22,2025,1,Software Developer
BBA,Finance,"Excel, Tally, Taxation, Auditing, QuickBooks, Communication",None,5.67,2026,1,Accountant
MBBS,General Medicine,"Health Promotion, Diagnosis, Patient Care, Medicine",None,6.67,2025,0,General Practitioner
LLM,Corporate Law,"Problem Solving, Communication",None,7.45,2023,1,Legal Advisor
LLM,Intellectual Property Law,"Problem Solving, Communication",None,7.79,2023,1,Patent Analyst
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.21,2026,0,Urban Planner
LLM,International Law,"Problem Solving, Communication",None,7.92,2026,1,Diplomat
B.Arch,Architecture,"SketchUp, AutoCAD, Revit, 3D Modeling, Building Codes",None,6.0,2023,1,Architect
M.Sc,Statistics,"SAS, Probability, Statistical Modeling",None,9.23,2026,0,Statistician
BBA,Business Analytics,"Statistics, Python, Power BI",Power BI Data Analyst,7.4,2024,0,Data Analyst
BCA,Computer Applications,"React, CSS, WordPress, HTML, PHP",None,8.84,2027,1,Web Developer
PhD,Physics,"Research, Lab Techniques, Data Analysis, Technical Writing",None,7.91,2026,1,Research Scientist
B.Tech,Civil Engineering,"Project Management, Site Management, Estimation",PMP,8.05,2025,0,Construction Manager
M.Com,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research",CPA,8.18,2026,1,Investment Analyst
MA,Economics,"Problem Solving, Communication",None,8.04,2026,1,Economic Researcher
BBA,Finance,"Auditing, QuickBooks, Excel, Tally",CPA,8.27,2026,0,Accountant
M.Arch,Sustainable Design,"Problem Solving, Communication",None,9.09,2026,1,Sustainable Design Consultant
LLB,Criminal Law,"Criminal Law, Court Procedures, Litigation",None,7.74,2026,1,Criminal Lawyer
BCA,Computer Applications,"SQL, Java, C#",None,8.35,2026,1,Software Developer
B.Arch,Architecture,"3D Modeling, Building Codes, AutoCAD, SketchUp",None,7.39,2026,1,Architect
MA,Economics,"Problem Solving, Communication",None,9.23,2025,1,Economic Researcher
LLM,Intellectual Property Law,"Problem Solving, Communication",None,6.69,2024,1,Patent Analyst
B.Tech,AI,"Neural Networks, Deep Learning, Python, TensorFlow, PyTorch, Communication",TensorFlow Developer,9.66,2024,1,AI Engineer
BBA,Finance,"Accounting, Financial Modeling, Valuation, SAP, Communication",None,7.45,2024,0,Financial Analyst
BA,Psychology,"Research, Behavioral Analysis, Psychotherapy, Counseling",None,5.78,2026,0,Psychologist
M.Tech,Computer Science,"Rest APIs, Python, SQL, Go, Django",None,7.65,2025,1,Backend Developer
MBBS,General Medicine,"Health Promotion, Diagnosis, Patient Care, Medicine",None,6.68,2024,0,General Practitioner
M.Tech,Computer Science,"C++, Data Structures, Java, SQL",AWS Certified,8.51,2026,1,Software Engineer
M.Tech,Data Science,"Machine Learning, Python, Big Data",Google Data Analytics,6.72,2027,0,Data Scientist
M.Com,Accounting,"Problem Solving, Communication",None,6.96,2025,1,Auditor
M.Tech,AI,"Neural Networks, Python, Deep Learning, TensorFlow, PyTorch",TensorFlow Developer,5.23,2024,1,AI Engineer
MBA,Finance,"Excel, Tally, Taxation, Auditing, QuickBooks",FRM,6.96,2026,0,Accountant
B.Tech,Computer Science,"C++, Communication, Java, SQL, Data Structures, Algorithms",AWS Certified,5.0,2027,0,Software Engineer
MBBS,General Medicine,"Health Promotion, Diagnosis, Patient Care, Medicine",None,5.6,2026,1,General Practitioner
B.Arch,Architecture,"Revit, AutoCAD, Communication, SketchUp",None,8.41,2026,0,Architect
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,8.44,2027,1,Pharmaceutical Chemist
BA,History,"Problem Solving, Communication",None,8.01,2024,1,Archivist
PhD,Mathematics,"Excel, Python, SQL, Statistics, Communication, Power BI",None,6.34,2025,0,Data Analyst
BA,English,"Classroom Management, Subject Knowledge, Curriculum Design, Communication",None,7.44,2025,1,Teacher
PhD,Mathematics,"Excel, Tableau, Python, SQL, Statistics",None,7.5,2026,1,Data Analyst
BCA,Computer Applications,"Problem Solving, Communication",None,6.11,2023,0,System Admin
M.Arch,Sustainable Design,"Problem Solving, Communication",None,9.3,2027,1,Sustainable Design Consultant
M.Com,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research",FRM,8.55,2026,1,Investment Analyst
LLM,Corporate Law,"Contract Law, Drafting, Mergers",None,7.23,2026,0,Corporate Lawyer
M.Com,Accounting,"Auditing, QuickBooks, Excel, Taxation",None,7.53,2026,0,Accountant
B.Tech,AI,"Neural Networks, Python, Deep Learning, PyTorch, Communication",AWS Machine Learning,7.75,2023,1,AI Engineer
BCA,Computer Applications,"Object Oriented Programming, C#, .NET, Java, SQL",None,5.05,2024,0,Software Developer
M.Com,Finance,"Excel, Taxation, Tally",None,7.2,2026,1,Accountant
B.Arch,Architecture,"SketchUp, AutoCAD, Revit, 3D Modeling, Building Codes",None,6.68,2025,1,Architect
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,6.3,2025,0,Quality Control Manager
M.Arch,Sustainable Design,"Problem Solving, Communication",None,7.16,2027,0,Sustainable Design Consultant
PhD,Biotechnology,"Problem Solving, Communication",None,9.66,2024,1,Research Associate
BBA,Marketing,"Google Analytics, Digital Marketing, CRM, Communication, SEO",Facebook Blueprint,8.27,2026,1,Marketing Manager
M.Tech,Data Science,"Pandas, Big Data, R",Azure Data Scientist,6.81,2025,1,Data Scientist
LLM,Corporate Law,"Problem Solving, Communication",None,8.19,2023,1,Legal Advisor
MBA,Finance,"Communication, QuickBooks, Taxation, Tally",Financial Modeling,9.18,2026,1,Accountant
BCA,Computer Applications,"HTML, React, Communication, JavaScript",None,8.61,2026,1,Web Developer
B.Tech,AI,"Neural Networks, Deep Learning, TensorFlow, PyTorch, Communication",None,7.57,2026,1,AI Engineer
PhD,Computer Science,"Rest APIs, Java, Python, Go, Django",None,6.72,2026,1,Backend Developer
MBA,Business Analytics,"Excel, Business Intelligence, Tableau, Visio, SQL",None,8.34,2026,1,Business Analyst
MA,Psychology,"Research, Counseling, Psychotherapy, Behavioral Analysis",None,7.97,2024,1,Psychologist
M.Sc,Biotechnology,"Problem Solving, Communication",None,8.57,2026,1,Biotech Consultant
B.Arch,Interior Design,"Material Selection, AutoCAD, SketchUp",None,8.26,2025,1,Interior Designer
M.Com,Accounting,"Auditing, QuickBooks, Excel, Taxation",None,8.76,2025,1,Accountant
M.Tech,Computer Science,"C++, Data Structures, Algorithms",None,6.86,2027,0,Software Engineer
M.Com,Finance,"Financial Analysis, Portfolio Management, Equity Research",FRM,9.08,2026,1,Investment Analyst
M.Tech,Data Science,"Machine Learning, Data Visualization, R",IBM Data Science,7.74,2027,1,Data Scientist
PhD,Physics,"Subject Knowledge, Curriculum Design, Communication",None,9.9,2023,1,Teacher
B.Tech,AI,"Scikit-learn, Pandas, Python, Machine Learning, Statistics",DeepLearning.AI,6.67,2026,0,Machine Learning Engineer
BCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,9.58,2024,1,Software Developer
B.Com,Finance,"Excel, Accounting, Financial Modeling, Valuation, SAP, Communication",None,7.74,2025,1,Financial Analyst
LLB,Corporate Law,"Contract Law, Drafting, Mergers, Compliance",None,6.72,2024,1,Corporate Lawyer
B.Arch,Interior Design,"Problem Solving, Communication",None,6.92,2025,1,Space Planner
BA,English,"Editing, Blogging, Research, Creative Writing, SEO",None,7.12,2027,0,Content Writer
BCA,Computer Applications,"C#, SQL, .NET, Object Oriented Programming",None,8.01,2025,1,Software Developer
M.Com,Accounting,"Problem Solving, Communication",None,8.13,2026,1,Auditor
B.Arch,Architecture,"Problem Solving, Communication",None,6.81,2025,1,Project Manager
PhD,Biotechnology,"Problem Solving, Communication",None,7.47,2025,1,Lab Manager
MBBS,Surgery,"Medical Ethics, Patient Care, Anatomy, Surgery",None,9.9,2025,1,Surgeon
B.Sc,Biotechnology,"Problem Solving, Communication",None,9.57,2025,1,Research Associate
B.Sc,Mathematics,"Excel, Tableau, Python, Communication, Power BI",None,8.02,2027,1,Data Analyst
PhD,Physics,"Excel, Tableau, Python, SQL, Power BI",None,7.55,2026,0,Data Analyst
BA,Economics,"Problem Solving, Communication",None,7.64,2026,1,Economic Researcher
MBA,Business Analytics,"Excel, Tableau, Visio, Business Intelligence, SQL",Power BI Data Analyst,8.24,2025,1,Business Analyst
M.Arch,Sustainable Design,"Problem Solving, Communication",None,6.27,2024,1,Sustainable Design Consultant
B.Sc,Mathematics,"Communication, SPSS, Probability, R",None,7.19,2025,1,Statistician
B.Com,Banking,"Financial Analysis, Excel, Portfolio Management",None,5.5,2026,1,Investment Analyst
BCA,Computer Applications,"Problem Solving, Communication",None,7.98,2025,0,System Admin
MCA,Computer Applications,"HTML, React, JavaScript",None,8.28,2025,1,Web Developer
PhD,Biotechnology,"Problem Solving, Communication",None,6.92,2023,1,Research Associate
MCA,Computer Applications,"Problem Solving, Communication",None,9.39,2025,1,System Admin
MBA,Marketing,"Google Ads, Content Creation, Email Marketing, Social Media, Communication, SEO",None,6.03,2026,0,Digital Marketer
MCA,Computer Applications,"Object Oriented Programming, C#, .NET, Java, SQL",None,5.74,2025,0,Software Developer
M.Com,Finance,"QuickBooks, Excel, Taxation, Tally",FRM,7.77,2025,0,Accountant
MA,English,"Classroom Management, Subject Knowledge, Curriculum Design, Communication",None,8.76,2025,1,Teacher
PhD,Biotechnology,"Problem Solving, Communication",None,9.52,2025,1,Research Associate
BCA,Computer Applications,"SQL, .NET, C#",None,6.95,2023,1,Software Developer
B.Tech,AI,"Pandas, Machine Learning, Python, Scikit-learn",None,8.79,2025,1,Machine Learning Engineer
B.Com,Accounting,"Excel, Tally, Taxation, Auditing, QuickBooks",None,7.45,2024,0,Accountant
MBA,Finance,"Excel, Accounting, Financial Modeling, Valuation, SAP, Communication",None,7.29,2025,0,Financial Analyst
PhD,Biotechnology,"Problem Solving, Communication",None,8.56,2025,0,Research Associate
MBA,Finance,"Excel, Portfolio Management, Equity Research",None,8.28,2025,0,Investment Analyst
B.Arch,Architecture,"AutoCAD, Building Codes, SketchUp, 3D Modeling",None,5.61,2025,0,Architect
M.Sc,Biotechnology,"Problem Solving, Communication",None,9.27,2025,1,Research Associate
B.Tech,Mechanical Engineering,"Design, Sketching, CATIA, Pro-E",AutoCAD Certified,9.16,2026,1,Design Engineer
MA,Psychology,"Research, Counseling, Psychotherapy",None,6.75,2025,1,Psychologist
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.97,2027,0,City Planner
B.Com,Accounting,"Problem Solving, Communication",None,8.09,2024,1,Auditor
B.Com,Accounting,"Auditing, Excel, Tally",None,7.81,2026,1,Accountant
B.Arch,Architecture,"AutoCAD, 3D Modeling, SketchUp, Building Codes",None,6.84,2026,0,Architect
MCA,Computer Applications,"SQL, Java, .NET",None,6.69,2025,1,Software Developer
BCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,7.47,2026,0,Software Developer
MA,Economics,"Problem Solving, Communication",None,8.91,2023,1,Economic Researcher
M.Sc,Biotechnology,"Problem Solving, Communication",None,8.15,2025,1,Research Associate
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.06,2026,1,Urban Planner
B.Sc,Statistics,"Probability, Statistical Modeling, SAS, SPSS, R",None,8.43,2024,1,Statistician
LLM,International Law,"Problem Solving, Communication",None,5.0,2025,0,International Lawyer
BCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL, Communication",None,8.88,2024,1,Software Developer
BA,Economics,"Problem Solving, Communication",None,5.41,2026,1,Economic Researcher
MBA,Human Resources,"Payroll, Employee Relations, Conflict Resolution, Recruitment",PHR,7.07,2026,0,HR Manager
MA,Sociology,"Problem Solving, Communication",None,6.16,2025,1,Social Researcher
LLM,International Law,"Problem Solving, Communication",None,5.95,2024,0,International Lawyer
MCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,8.89,2026,0,Software Developer
BCA,Computer Applications,"Problem Solving, Communication",None,6.94,2026,0,System Admin
M.Tech,Computer Science,"HTML, CSS, Node.js",None,7.92,2026,0,Full Stack Developer
B.Com,Finance,"Financial Modeling, Valuation, Accounting, Communication",FRM,7.44,2023,1,Financial Analyst
M.Com,Finance,"Valuation, Accounting, SAP, Excel",Financial Modeling,8.07,2025,1,Financial Analyst
M.Com,Accounting,"Auditing, QuickBooks, Excel, Taxation",None,7.59,2026,1,Accountant
M.Tech,AI,"Scikit-learn, Pandas, Python, Machine Learning, Statistics",DeepLearning.AI,5.96,2025,1,Machine Learning Engineer
B.Pharm,Pharmacy,"Patient Counseling, Drug Safety, Dispensing, Pharmacology",None,8.7,2024,0,Pharmacist
B.Sc,Data Science,"SQL, Excel, Power BI",Google Data Analytics,6.91,2024,1,Data Analyst
MA,English,"Research, Editing, SEO",None,5.63,2026,0,Content Writer
M.Com,Accounting,"Excel, Taxation, Auditing, QuickBooks, Communication",None,6.99,2025,1,Accountant
M.Com,Accounting,"Excel, Tally, Taxation, Auditing, QuickBooks",None,9.3,2026,1,Accountant
M.Arch,Urban Planning,"Problem Solving, Communication",None,8.52,2025,1,Urban Planner
BCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,7.08,2025,0,Software Developer
PhD,Mathematics,"SAS, SPSS, R",None,7.08,2026,0,Statistician
M.Sc,Biotechnology,"Problem Solving, Communication",None,7.11,2023,0,Research Associate
LLB,Constitutional Law,"Problem Solving, Communication",None,9.9,2025,1,Legal Researcher
MBBS,Pediatrics,"Problem Solving, Communication",None,7.96,2026,1,Pediatrician
MA,English,"Creative Writing, Research, SEO",None,8.02,2026,0,Content Writer
BA,English,"Problem Solving, Communication",None,8.74,2026,1,Editor
B.Arch,Architecture,"Building Codes, Revit, SketchUp, 3D Modeling",None,7.79,2025,0,Architect
B.Sc,Statistics,"SPSS, Statistical Modeling, Probability",None,7.19,2024,0,Statistician
B.Arch,Interior Design,"Color Theory, Material Selection, AutoCAD",None,7.26,2026,1,Interior Designer
PhD,Mathematics,"SPSS, Statistical Modeling, Probability",None,7.41,2025,1,Statistician
M.Sc,Data Science,"Tableau, Python, SQL, Statistics, Power BI",None,7.46,2025,1,Data Analyst
MA,Economics,"Problem Solving, Communication",None,8.37,2024,0,Economic Researcher
MCA,Computer Applications,"SQL, Java, C#, Object Oriented Programming",None,7.56,2023,0,Software Developer
M.Com,Finance,"Excel, Accounting, Financial Modeling, Valuation, SAP",None,8.38,2024,0,Financial Analyst
BBA,Marketing,"Social Media, Google Ads, Content Creation, SEO",Google Ads,7.4,2026,0,Digital Marketer
B.Sc,Statistics,"SAS, SPSS, Statistical Modeling",None,7.59,2023,0,Statistician
M.Tech,Computer Science,"React, CSS, Node.js",AWS Certified,5.1,2025,1,Full Stack Developer
B.Arch,Interior Design,"Color Theory, Space Planning, SketchUp, AutoCAD, Material Selection",None,8.6,2026,0,Interior Designer
MBA,Operations,"Inventory Management, Six Sigma, Logistics, Supply Chain",None,7.92,2026,1,Operations Manager
MBA,Business Analytics,"Excel, Tableau, Visio, Business Intelligence, SQL",None,8.7,2025,1,Business Analyst
BCA,Computer Applications,"Communication, React, CSS, JavaScript",None,5.0,2024,0,Web Developer
B.Com,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research",CPA,9.9,2024,1,Investment Analyst
M.Sc,Statistics,"Tableau, Statistics, Power BI",None,7.33,2026,1,Data Analyst
MBA,Operations,"Problem Solving, Communication",None,8.83,2026,1,Supply Chain Analyst
B.Com,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research",None,6.25,2027,0,Investment Analyst
B.Tech,Electronics Engineering,"Problem Solving, Communication",None,8.24,2025,1,Embedded Systems Engineer
MBBS,Pediatrics,"Problem Solving, Communication",None,6.24,2025,0,Pediatrician
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,6.75,2025,1,Quality Control Manager
M.Tech,Computer Science,"C++, Java, SQL, Data Structures, Communication",None,9.8,2025,1,Software Engineer
LLB,Corporate Law,"Problem Solving, Communication",None,7.27,2025,0,Legal Advisor
MBA,Business Analytics,"Visio, SQL, Excel, Business Intelligence",Power BI Data Analyst,7.76,2026,1,Business Analyst
M.Com,Accounting,"Auditing, QuickBooks, Excel, Taxation",None,8.54,2023,1,Accountant
LLB,Criminal Law,"Criminal Law, Litigation, Evidence, Court Procedures, Communication",None,8.09,2023,1,Criminal Lawyer
M.Com,Accounting,"Auditing, QuickBooks, Excel, Tally",None,7.68,2025,0,Accountant
BCA,Computer Applications,"HTML, React, JavaScript",None,7.94,2027,1,Web Developer
M.Com,Finance,"Excel, Accounting, Financial Modeling, Valuation, SAP",Financial Modeling,9.9,2023,1,Financial Analyst
LLB,Corporate Law,"Contract Law, Mergers, Compliance",None,7.43,2026,0,Corporate Lawyer
BA,History,"Classroom Management, Subject Knowledge, Curriculum Design, Communication",None,7.74,2027,1,Teacher
B.Sc,Statistics,"SPSS, Statistical Modeling, R",None,8.76,2024,0,Statistician
BBA,Marketing,"Email Marketing, Social Media, SEO",HubSpot Content Marketing,8.83,2026,0,Digital Marketer
PhD,Biotechnology,"Problem Solving, Communication",None,8.92,2026,1,Research Associate
M.Sc,Chemistry,"Problem Solving, Communication",None,8.27,2025,1,Lab Technician
M.Com,Accounting,"QuickBooks, Excel, Taxation",None,6.13,2025,1,Accountant
LLB,Criminal Law,"Problem Solving, Communication",None,9.46,2025,0,Public Defender
B.Com,Accounting,"Problem Solving, Communication",None,6.12,2026,0,Auditor
M.Tech,Data Science,"SQL, Excel, Statistics",Google Data Analytics,7.86,2026,1,Data Analyst
PhD,Mathematics,"SAS, SPSS, Probability, R",None,6.59,2026,0,Statistician
M.Sc,Data Science,"SQL, Excel, Power BI",Google Data Analytics,7.42,2027,1,Data Analyst
M.Com,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research",Financial Modeling,7.89,2026,0,Investment Analyst
M.Sc,Statistics,"R, Probability, Statistical Modeling, SAS, Communication",None,7.89,2027,0,Statistician
MBBS,Surgery,"Medical Ethics, Patient Care, Anatomy, Surgery",None,8.01,2025,1,Surgeon
MCA,Computer Applications,"Object Oriented Programming, C#, .NET, Java, SQL",None,9.44,2023,1,Software Developer
MCA,Computer Applications,"SQL, Java, Object Oriented Programming",None,8.04,2025,1,Software Developer
MBA,Human Resources,"Employee Relations, HRIS, Payroll, Recruitment",None,7.21,2027,1,HR Manager
M.Tech,Data Science,"Data Visualization, Machine Learning, Python, R",Azure Data Scientist,8.66,2025,0,Data Scientist
LLM,International Law,"Problem Solving, Communication",None,8.93,2025,0,International Lawyer
M.Sc,Data Science,"Python, Machine Learning, Data Visualization, Pandas",None,6.03,2024,0,Data Scientist
LLB,Constitutional Law,"Problem Solving, Communication",None,8.22,2024,1,Constitutional Lawyer
B.Com,Accounting,"Problem Solving, Communication",None,8.34,2027,0,Auditor
M.Sc,Biotechnology,"Problem Solving, Communication",None,7.14,2023,0,Lab Manager
BA,History,"Problem Solving, Communication",None,9.15,2027,1,Archivist
M.Sc,Physics,"Excel, Tableau, Python, SQL, Statistics",None,7.32,2025,1,Data Analyst
M.Tech,Mechanical Engineering,"SolidWorks, AutoCAD, Ansys, Thermodynamics, Manufacturing",Certified SolidWorks Professional,7.65,2024,1,Mechanical Engineer
B.Com,Accounting,"Problem Solving, Communication",None,7.29,2025,1,Auditor
BBA,Human Resources,"Problem Solving, Communication",PHR,7.52,2023,0,Recruitment Specialist
MBA,Human Resources,"Problem Solving, Communication",None,6.18,2026,1,Recruitment Specialist
MCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,5.77,2026,1,Software Developer
M.Com,Accounting,"Problem Solving, Communication",None,9.41,2025,0,Auditor
B.Arch,Interior Design,"AutoCAD, Material Selection, Space Planning",None,6.48,2026,0,Interior Designer
LLB,Corporate Law,"Drafting, Contract Law, Mergers, Compliance",None,6.31,2027,1,Corporate Lawyer
MCA,Computer Applications,"Object Oriented Programming, .NET, Java, SQL, Communication",None,5.0,2026,0,Software Developer
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,6.73,2026,0,Pharmaceutical Chemist
B.Pharm,Pharmacy,"Patient Counseling, Dispensing, Drug Safety",None,5.91,2023,0,Pharmacist
LLM,Corporate Law,"Drafting, Contract Law, Mergers, Compliance, Corporate Law",None,9.47,2026,1,Corporate Lawyer
B.Com,Finance,"Excel, Tally, Taxation, Auditing, QuickBooks",Financial Modeling,8.71,2026,1,Accountant
MBA,Human Resources,"Recruitment, Employee Relations, Conflict Resolution, HRIS, Payroll",SHRM-CP,6.67,2025,1,HR Manager
BCA,Computer Applications,"SQL, Object Oriented Programming, .NET, C#",None,9.9,2025,1,Software Developer
BA,Psychology,"Problem Solving, Communication",None,8.68,2025,1,Counselor
B.Com,Banking,"Problem Solving, Communication",None,7.11,2027,0,Banking Officer
MBA,Human Resources,"Problem Solving, Communication",PHR,5.0,2026,0,Recruitment Specialist
M.Com,Finance,"Excel, SAP, Accounting",CPA,9.9,2026,0,Financial Analyst
BBA,Marketing,"Social Media, Content Creation, SEO",Facebook Blueprint,5.83,2025,0,Digital Marketer
MBBS,Pediatrics,"Problem Solving, Communication",None,5.53,2026,0,Medical Officer
MA,Psychology,"Problem Solving, Communication",None,8.73,2027,1,Counselor
BA,Economics,"Problem Solving, Communication",None,9.9,2023,0,Economic Researcher
M.Arch,Sustainable Design,"Problem Solving, Communication",None,9.16,2025,0,Sustainable Design Consultant
LLM,Corporate Law,"Drafting, Contract Law, Mergers",None,8.18,2027,1,Corporate Lawyer
LLM,International Law,"Problem Solving, Communication",None,8.21,2027,1,International Lawyer
MBA,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research",FRM,8.52,2025,1,Investment Analyst
M.Arch,Sustainable Design,"Problem Solving, Communication",None,8.41,2026,1,Sustainable Design Consultant
BCA,Computer Applications,"Object Oriented Programming, C#, .NET, Java, SQL, Communication",None,7.84,2026,1,Software Developer
MCA,Computer Applications,"Object Oriented Programming, C#, .NET, Java, SQL",None,7.63,2025,1,Software Developer
LLB,Criminal Law,"Evidence, Criminal Law, Litigation",None,7.42,2026,1,Criminal Lawyer
MCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL, Communication",None,6.6,2025,1,Software Developer
MA,Psychology,"Research, Counseling, Psychotherapy, Behavioral Analysis",None,7.16,2025,0,Psychologist
MCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,5.47,2026,0,Software Developer
MCA,Computer Applications,"Problem Solving, Communication",None,7.38,2023,1,System Admin
B.Sc,Statistics,"SQL, Statistics, Python, Power BI",None,6.31,2023,1,Data Analyst
B.Sc,Mathematics,"Classroom Management, Subject Knowledge, Curriculum Design, Communication",None,6.18,2025,0,Teacher
B.Pharm,Pharmacy,"Problem Solving, Communication",None,7.72,2024,1,Drug Safety Associate
PhD,Mathematics,"Classroom Management, Subject Knowledge, Curriculum Design, Communication",None,9.17,2025,1,Teacher
MA,Psychology,"Research, Counseling, Psychotherapy, Behavioral Analysis",None,8.6,2025,0,Psychologist
MBBS,General Medicine,"Health Promotion, Diagnosis, Patient Care, Medicine",None,5.62,2025,0,General Practitioner
LLB,Constitutional Law,"Problem Solving, Communication",None,6.31,2027,0,Constitutional Lawyer
M.Com,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research",CFA,8.63,2027,1,Investment Analyst
BBA,Finance,"Excel, Tally, Taxation, QuickBooks, Communication",FRM,6.32,2026,1,Accountant
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,7.23,2025,1,Pharmaceutical Chemist
PhD,Biotechnology,"Problem Solving, Communication",None,8.16,2026,1,Research Associate
MCA,Computer Applications,".NET, C#, Java, SQL, Communication",None,6.34,2027,0,Software Developer
MA,Psychology,"Research, Counseling, Psychotherapy, Behavioral Analysis",None,7.63,2027,1,Psychologist
B.Arch,Architecture,"AutoCAD, Building Codes, Communication, SketchUp",None,5.9,2025,1,Architect
BCA,Computer Applications,"C#, SQL, .NET, Object Oriented Programming",None,6.78,2027,0,Software Developer
M.Com,Finance,"Excel, Portfolio Management, Equity Research",CFA,7.88,2025,1,Investment Analyst
B.Com,Banking,"Problem Solving, Communication",None,5.59,2026,1,Banking Officer
BBA,Finance,"Financial Analysis, Excel, Equity Research",CFA,8.03,2026,1,Investment Analyst
M.Com,Accounting,"Communication, QuickBooks, Taxation, Tally",None,7.48,2025,0,Accountant
BBA,Business Analytics,"Business Intelligence, SQL, Tableau",CBAP,8.16,2025,0,Business Analyst
BBA,Human Resources,"Problem Solving, Communication",PHR,7.77,2024,1,Recruitment Specialist
M.Sc,Biotechnology,"Problem Solving, Communication",None,9.14,2023,1,Biotech Consultant
MBBS,General Medicine,"Problem Solving, Communication",None,7.65,2025,0,Medical Consultant
LLM,Corporate Law,"Contract Law, Mergers, Compliance, Corporate Law",None,6.98,2025,0,Corporate Lawyer
BA,English,"Editing, Blogging, Creative Writing, Communication, SEO",None,7.65,2026,1,Content Writer
LLB,Corporate Law,"Contract Law, Drafting, Mergers, Compliance",None,8.15,2027,1,Corporate Lawyer
PhD,Biotechnology,"Problem Solving, Communication",None,7.56,2026,1,Research Associate
M.Com,Accounting,"Excel, Tally, Taxation, Auditing, QuickBooks",None,7.55,2023,0,Accountant
M.Tech,Computer Science,"SQL, Java, Django, Python",Oracle Java,6.66,2025,0,Backend Developer
